group,alphabet,seed_to_target,seed_n,target_n,seed_total,signature_count,mean_seeds_per_signature,max_seeds_per_signature,seed_rate_NW,signature_active_rate_NW,signature_purity_NW,seed_rate_NE,signature_active_rate_NE,signature_purity_NE,seed_rate_SW,signature_active_rate_SW,signature_purity_SW,seed_rate_SE,signature_active_rate_SE,signature_purity_SE,seed_rate_CENTER,signature_active_rate_CENTER,signature_purity_CENTER,seed_rate_ALL_CORNERS,signature_active_rate_ALL_CORNERS,signature_purity_ALL_CORNERS,seed_rate_ANY_EDGE,signature_active_rate_ANY_EDGE,signature_purity_ANY_EDGE,seed_rate_ANY_OFFSET,signature_active_rate_ANY_OFFSET,signature_purity_ANY_OFFSET,seed_gap_ANY_OFFSET_minus_ANY_EDGE,boundary_signature_explains_ANY_EDGE,boundary_signature_explains_ANY_OFFSET
main_target_le_5,G4_Labbe_19,3->5,3,5,428,428,1.0,1,0.6565420560747663,0.6565420560747663,1.0,0.3107476635514019,0.3107476635514019,1.0,0.6518691588785047,0.6518691588785047,1.0,0.3060747663551402,0.3060747663551402,1.0,0.23598130841121495,0.23598130841121495,1.0,0.852803738317757,0.852803738317757,1.0,0.8551401869158879,0.8551401869158879,1.0,0.8551401869158879,0.8551401869158879,1.0,0.0,True,True
main_target_le_5,G4_Labbe_19,4->5,4,5,1955,1955,1.0,1,0.480306905370844,0.480306905370844,1.0,0.1483375959079284,0.1483375959079284,1.0,0.478772378516624,0.478772378516624,1.0,0.14526854219948848,0.14526854219948848,1.0,0.480306905370844,0.480306905370844,1.0,0.6250639386189258,0.6250639386189258,1.0,0.6250639386189258,0.6250639386189258,1.0,0.6250639386189258,0.6250639386189258,1.0,0.0,True,True
main_target_le_5,G5_Kari_Culik_13,2->3,2,3,125,123,1.016260162601626,2,0.744,0.7398373983739838,1.0,0.744,0.7398373983739838,1.0,0.944,0.943089430894309,1.0,0.944,0.943089430894309,1.0,0.744,0.7398373983739838,1.0,0.976,0.975609756097561,1.0,0.976,0.975609756097561,1.0,0.976,0.975609756097561,1.0,0.0,True,True
main_target_le_5,G5_Kari_Culik_13,2->4,2,4,125,123,1.016260162601626,2,0.744,0.7398373983739838,1.0,0.744,0.7398373983739838,1.0,0.944,0.943089430894309,1.0,0.944,0.943089430894309,1.0,0.656,0.6504065040650406,1.0,0.976,0.975609756097561,1.0,0.976,0.975609756097561,1.0,0.976,0.975609756097561,1.0,0.0,True,True
main_target_le_5,G5_Kari_Culik_13,2->5,2,5,125,123,1.016260162601626,2,0.744,0.7398373983739838,1.0,0.744,0.7398373983739838,1.0,0.912,0.9105691056910569,1.0,0.912,0.9105691056910569,1.0,0.656,0.6504065040650406,1.0,0.976,0.975609756097561,1.0,0.976,0.975609756097561,1.0,0.976,0.975609756097561,1.0,0.0,True,True
main_target_le_5,G5_Kari_Culik_13,3->4,3,4,1240,1088,1.1397058823529411,3,0.5975806451612903,0.6020220588235294,1.0,0.5975806451612903,0.6020220588235294,1.0,0.8032258064516129,0.7904411764705882,1.0,0.8032258064516129,0.7904411764705882,1.0,0.5975806451612903,0.6020220588235294,1.0,0.967741935483871,0.9632352941176471,1.0,0.967741935483871,0.9632352941176471,1.0,0.967741935483871,0.9632352941176471,1.0,0.0,True,True
main_target_le_5,G5_Kari_Culik_13,3->5,3,5,1240,1088,1.1397058823529411,3,0.5967741935483871,0.6011029411764706,1.0,0.5967741935483871,0.6011029411764706,1.0,0.7870967741935484,0.7757352941176471,1.0,0.7870967741935484,0.7757352941176471,1.0,0.3959677419354839,0.39797794117647056,1.0,0.967741935483871,0.9632352941176471,1.0,0.967741935483871,0.9632352941176471,1.0,0.967741935483871,0.9632352941176471,1.0,0.0,True,True
main_target_le_5,G5_Kari_Culik_13,4->5,4,5,14810,10834,1.3669928004430496,6,0.39817690749493584,0.3926527598301643,1.0,0.39817690749493584,0.3926527598301643,1.0,0.5534773801485483,0.5481816503599779,1.0,0.5534773801485483,0.5481816503599779,1.0,0.39817690749493584,0.3926527598301643,1.0,0.7646185010128291,0.7653682850286136,1.0,0.7646185010128291,0.7653682850286136,1.0,0.7646185010128291,0.7653682850286136,1.0,0.0,True,True
limit_target_6_G3_G4,G3_Jeandel_Rao_11,2->6,2,6,85,85,1.0,1,0.8352941176470589,0.8352941176470589,1.0,0.8941176470588236,0.8941176470588236,1.0,0.8,0.8,1.0,0.9058823529411765,0.9058823529411765,1.0,0.6470588235294118,0.6470588235294118,1.0,0.9882352941176471,0.9882352941176471,1.0,0.9882352941176471,0.9882352941176471,1.0,0.9882352941176471,0.9882352941176471,1.0,0.0,True,True
limit_target_6_G3_G4,G3_Jeandel_Rao_11,3->6,3,6,444,444,1.0,1,0.581081081081081,0.581081081081081,1.0,0.6238738738738738,0.6238738738738738,1.0,0.5202702702702703,0.5202702702702703,1.0,0.6036036036036037,0.6036036036036037,1.0,0.3333333333333333,0.3333333333333333,1.0,0.8873873873873874,0.8873873873873874,1.0,0.8896396396396397,0.8896396396396397,1.0,0.8896396396396397,0.8896396396396397,1.0,0.0,True,True
