seed_total,target_total,min_corner_rate,max_corner_rate,mean_corner_rate,corner_spread,any_edge_rate,any_offset_rate,restoration_gain,edge_offset_gap,group,alphabet,seed_to_target,seed_n,target_n,rigidity_spread,boundary_load,restoration_boundary_score
428,3626,0.3060747663551402,0.6565420560747663,0.48130841121495327,0.35046728971962615,0.8551401869158879,0.8551401869158879,0.3738317757009346,0.0,main_target_le_5,G4_Labbe_19,3->5,3,5,0.35046728971962615,0.1448598130841121,0.5852803738317758
1955,3626,0.14526854219948848,0.480306905370844,0.3131713554987212,0.3350383631713555,0.6250639386189258,0.6250639386189258,0.3118925831202046,0.0,main_target_le_5,G4_Labbe_19,4->5,4,5,0.3350383631713555,0.37493606138107416,0.5731457800511509
125,1240,0.744,0.944,0.844,0.19999999999999996,0.976,0.976,0.132,0.0,main_target_le_5,G5_Kari_Culik_13,2->3,2,3,0.19999999999999996,0.02400000000000002,0.238
125,14810,0.744,0.944,0.844,0.19999999999999996,0.976,0.976,0.132,0.0,main_target_le_5,G5_Kari_Culik_13,2->4,2,4,0.19999999999999996,0.02400000000000002,0.238
125,160168,0.744,0.912,0.8280000000000001,0.16800000000000004,0.976,0.976,0.1479999999999999,0.0,main_target_le_5,G5_Kari_Culik_13,2->5,2,5,0.16800000000000004,0.02400000000000002,0.23799999999999993
1240,14810,0.5975806451612903,0.8032258064516129,0.7004032258064516,0.20564516129032262,0.967741935483871,0.967741935483871,0.26733870967741935,0.0,main_target_le_5,G5_Kari_Culik_13,3->4,3,4,0.20564516129032262,0.032258064516129004,0.3782258064516129
1240,160168,0.5967741935483871,0.7870967741935484,0.6919354838709677,0.19032258064516128,0.967741935483871,0.967741935483871,0.2758064516129033,0.0,main_target_le_5,G5_Kari_Culik_13,3->5,3,5,0.19032258064516128,0.032258064516129004,0.3790322580645162
14810,160168,0.39817690749493584,0.5534773801485483,0.47582714382174207,0.15530047265361246,0.7646185010128291,0.7646185010128291,0.28879135719108706,0.0,main_target_le_5,G5_Kari_Culik_13,4->5,4,5,0.15530047265361246,0.23538149898717087,0.42528696826468604
85,50638,0.8,0.9058823529411765,0.8588235294117648,0.10588235294117643,0.9882352941176471,0.9882352941176471,0.12941176470588234,0.0,limit_target_6_G3_G4,G3_Jeandel_Rao_11,2->6,2,6,0.10588235294117643,0.0117647058823529,0.18529411764705878
444,50638,0.5202702702702703,0.6238738738738738,0.5822072072072072,0.10360360360360354,0.8896396396396397,0.8896396396396397,0.30743243243243246,0.0,limit_target_6_G3_G4,G3_Jeandel_Rao_11,3->6,3,6,0.10360360360360354,0.11036036036036034,0.38682432432432434
1723,50638,0.4497968659315148,0.538595473012188,0.4885374347069066,0.08879860708067322,0.8438769587928032,0.8438769587928032,0.35533952408589664,0.0,limit_target_6_G3_G4,G3_Jeandel_Rao_11,4->6,4,6,0.08879860708067322,0.15612304120719678,0.43876958792803245
9172,50638,0.31923244657653727,0.49912778020061055,0.4058002616659398,0.17989533362407328,0.7567597034452682,0.7567597034452682,0.3509594417793284,0.0,limit_target_6_G3_G4,G3_Jeandel_Rao_11,5->6,5,6,0.17989533362407328,0.24324029655473178,0.501717182730048
139,10952,0.4460431654676259,0.6690647482014388,0.5557553956834532,0.2230215827338129,0.841726618705036,0.841726618705036,0.28597122302158273,0.0,limit_target_6_G3_G4,G4_Labbe_19,2->6,2,6,0.2230215827338129,0.15827338129496404,0.43705035971223016
428,10952,0.2897196261682243,0.647196261682243,0.46845794392523366,0.3574766355140187,0.8341121495327103,0.8341121495327103,0.36565420560747663,0.0,limit_target_6_G3_G4,G4_Labbe_19,3->6,3,6,0.3574766355140187,0.1658878504672897,0.5858644859813084
1955,10952,0.13043478260869565,0.44910485933503835,0.2817135549872123,0.31867007672634273,0.5703324808184144,0.5703324808184144,0.2886189258312021,0.0,limit_target_6_G3_G4,G4_Labbe_19,4->6,4,6,0.31867007672634273,0.42966751918158563,0.5553708439897699
3626,10952,0.13458356315499173,0.6458907887479316,0.3837562051847766,0.5113072255929398,0.7917815774958632,0.7917815774958632,0.4080253723110866,0.0,limit_target_6_G3_G4,G4_Labbe_19,5->6,5,6,0.5113072255929398,0.2082184225041368,0.7157335907335907
