group,alphabet,seed_to_target,seed_n,target_n,policy,seed_total,target_total,restored_seeds,blocked_seeds,restoration_rate
main_target_le_5,G4_Labbe_19,3->5,3,5,ANY_OFFSET,428,3626,366,62,0.8551401869158879
main_target_le_5,G4_Labbe_19,4->5,4,5,NW,1955,3626,939,1016,0.480306905370844
main_target_le_5,G4_Labbe_19,4->5,4,5,NE,1955,3626,290,1665,0.1483375959079284
main_target_le_5,G4_Labbe_19,4->5,4,5,SW,1955,3626,936,1019,0.478772378516624
main_target_le_5,G4_Labbe_19,4->5,4,5,SE,1955,3626,284,1671,0.14526854219948848
main_target_le_5,G4_Labbe_19,4->5,4,5,CENTER,1955,3626,939,1016,0.480306905370844
main_target_le_5,G4_Labbe_19,4->5,4,5,ALL_CORNERS,1955,3626,1222,733,0.6250639386189258
main_target_le_5,G4_Labbe_19,4->5,4,5,ANY_EDGE,1955,3626,1222,733,0.6250639386189258
main_target_le_5,G4_Labbe_19,4->5,4,5,ANY_OFFSET,1955,3626,1222,733,0.6250639386189258
main_target_le_5,G5_Kari_Culik_13,2->3,2,3,NW,125,1240,93,32,0.744
main_target_le_5,G5_Kari_Culik_13,2->3,2,3,NE,125,1240,93,32,0.744
main_target_le_5,G5_Kari_Culik_13,2->3,2,3,SW,125,1240,118,7,0.944
main_target_le_5,G5_Kari_Culik_13,2->3,2,3,SE,125,1240,118,7,0.944
main_target_le_5,G5_Kari_Culik_13,2->3,2,3,CENTER,125,1240,93,32,0.744
main_target_le_5,G5_Kari_Culik_13,2->3,2,3,ALL_CORNERS,125,1240,122,3,0.976
main_target_le_5,G5_Kari_Culik_13,2->3,2,3,ANY_EDGE,125,1240,122,3,0.976
main_target_le_5,G5_Kari_Culik_13,2->3,2,3,ANY_OFFSET,125,1240,122,3,0.976
main_target_le_5,G5_Kari_Culik_13,2->4,2,4,NW,125,14810,93,32,0.744
main_target_le_5,G5_Kari_Culik_13,2->4,2,4,NE,125,14810,93,32,0.744
main_target_le_5,G5_Kari_Culik_13,2->4,2,4,SW,125,14810,118,7,0.944
main_target_le_5,G5_Kari_Culik_13,2->4,2,4,SE,125,14810,118,7,0.944
main_target_le_5,G5_Kari_Culik_13,2->4,2,4,CENTER,125,14810,82,43,0.656
main_target_le_5,G5_Kari_Culik_13,2->4,2,4,ALL_CORNERS,125,14810,122,3,0.976
main_target_le_5,G5_Kari_Culik_13,2->4,2,4,ANY_EDGE,125,14810,122,3,0.976
main_target_le_5,G5_Kari_Culik_13,2->4,2,4,ANY_OFFSET,125,14810,122,3,0.976
main_target_le_5,G5_Kari_Culik_13,2->5,2,5,NW,125,160168,93,32,0.744
main_target_le_5,G5_Kari_Culik_13,2->5,2,5,NE,125,160168,93,32,0.744
main_target_le_5,G5_Kari_Culik_13,2->5,2,5,SW,125,160168,114,11,0.912
main_target_le_5,G5_Kari_Culik_13,2->5,2,5,SE,125,160168,114,11,0.912
main_target_le_5,G5_Kari_Culik_13,2->5,2,5,CENTER,125,160168,82,43,0.656
main_target_le_5,G5_Kari_Culik_13,2->5,2,5,ALL_CORNERS,125,160168,122,3,0.976
main_target_le_5,G5_Kari_Culik_13,2->5,2,5,ANY_EDGE,125,160168,122,3,0.976
main_target_le_5,G5_Kari_Culik_13,2->5,2,5,ANY_OFFSET,125,160168,122,3,0.976
main_target_le_5,G5_Kari_Culik_13,3->4,3,4,NW,1240,14810,741,499,0.5975806451612903
main_target_le_5,G5_Kari_Culik_13,3->4,3,4,NE,1240,14810,741,499,0.5975806451612903
main_target_le_5,G5_Kari_Culik_13,3->4,3,4,SW,1240,14810,996,244,0.8032258064516129
main_target_le_5,G5_Kari_Culik_13,3->4,3,4,SE,1240,14810,996,244,0.8032258064516129
main_target_le_5,G5_Kari_Culik_13,3->4,3,4,CENTER,1240,14810,741,499,0.5975806451612903
main_target_le_5,G5_Kari_Culik_13,3->4,3,4,ALL_CORNERS,1240,14810,1200,40,0.967741935483871
main_target_le_5,G5_Kari_Culik_13,3->4,3,4,ANY_EDGE,1240,14810,1200,40,0.967741935483871
main_target_le_5,G5_Kari_Culik_13,3->4,3,4,ANY_OFFSET,1240,14810,1200,40,0.967741935483871
main_target_le_5,G5_Kari_Culik_13,3->5,3,5,NW,1240,160168,740,500,0.5967741935483871
main_target_le_5,G5_Kari_Culik_13,3->5,3,5,NE,1240,160168,740,500,0.5967741935483871
main_target_le_5,G5_Kari_Culik_13,3->5,3,5,SW,1240,160168,976,264,0.7870967741935484
main_target_le_5,G5_Kari_Culik_13,3->5,3,5,SE,1240,160168,976,264,0.7870967741935484
main_target_le_5,G5_Kari_Culik_13,3->5,3,5,CENTER,1240,160168,491,749,0.3959677419354839
main_target_le_5,G5_Kari_Culik_13,3->5,3,5,ALL_CORNERS,1240,160168,1200,40,0.967741935483871
main_target_le_5,G5_Kari_Culik_13,3->5,3,5,ANY_EDGE,1240,160168,1200,40,0.967741935483871
main_target_le_5,G5_Kari_Culik_13,3->5,3,5,ANY_OFFSET,1240,160168,1200,40,0.967741935483871
main_target_le_5,G5_Kari_Culik_13,4->5,4,5,NW,14810,160168,5897,8913,0.39817690749493584
main_target_le_5,G5_Kari_Culik_13,4->5,4,5,NE,14810,160168,5897,8913,0.39817690749493584
main_target_le_5,G5_Kari_Culik_13,4->5,4,5,SW,14810,160168,8197,6613,0.5534773801485483
main_target_le_5,G5_Kari_Culik_13,4->5,4,5,SE,14810,160168,8197,6613,0.5534773801485483
main_target_le_5,G5_Kari_Culik_13,4->5,4,5,CENTER,14810,160168,5897,8913,0.39817690749493584
main_target_le_5,G5_Kari_Culik_13,4->5,4,5,ALL_CORNERS,14810,160168,11324,3486,0.7646185010128291
main_target_le_5,G5_Kari_Culik_13,4->5,4,5,ANY_EDGE,14810,160168,11324,3486,0.7646185010128291
main_target_le_5,G5_Kari_Culik_13,4->5,4,5,ANY_OFFSET,14810,160168,11324,3486,0.7646185010128291
limit_target_6_G3_G4,G3_Jeandel_Rao_11,2->6,2,6,NW,85,50638,71,14,0.8352941176470589
limit_target_6_G3_G4,G3_Jeandel_Rao_11,2->6,2,6,NE,85,50638,76,9,0.8941176470588236
limit_target_6_G3_G4,G3_Jeandel_Rao_11,2->6,2,6,SW,85,50638,68,17,0.8
limit_target_6_G3_G4,G3_Jeandel_Rao_11,2->6,2,6,SE,85,50638,77,8,0.9058823529411765
limit_target_6_G3_G4,G3_Jeandel_Rao_11,2->6,2,6,CENTER,85,50638,55,30,0.6470588235294118
limit_target_6_G3_G4,G3_Jeandel_Rao_11,2->6,2,6,ALL_CORNERS,85,50638,84,1,0.9882352941176471
limit_target_6_G3_G4,G3_Jeandel_Rao_11,2->6,2,6,ANY_EDGE,85,50638,84,1,0.9882352941176471
limit_target_6_G3_G4,G3_Jeandel_Rao_11,2->6,2,6,ANY_OFFSET,85,50638,84,1,0.9882352941176471
limit_target_6_G3_G4,G3_Jeandel_Rao_11,3->6,3,6,NW,444,50638,258,186,0.581081081081081
limit_target_6_G3_G4,G3_Jeandel_Rao_11,3->6,3,6,NE,444,50638,277,167,0.6238738738738738
limit_target_6_G3_G4,G3_Jeandel_Rao_11,3->6,3,6,SW,444,50638,231,213,0.5202702702702703
limit_target_6_G3_G4,G3_Jeandel_Rao_11,3->6,3,6,SE,444,50638,268,176,0.6036036036036037
limit_target_6_G3_G4,G3_Jeandel_Rao_11,3->6,3,6,CENTER,444,50638,148,296,0.3333333333333333
limit_target_6_G3_G4,G3_Jeandel_Rao_11,3->6,3,6,ALL_CORNERS,444,50638,394,50,0.8873873873873874
limit_target_6_G3_G4,G3_Jeandel_Rao_11,3->6,3,6,ANY_EDGE,444,50638,395,49,0.8896396396396397
limit_target_6_G3_G4,G3_Jeandel_Rao_11,3->6,3,6,ANY_OFFSET,444,50638,395,49,0.8896396396396397
limit_target_6_G3_G4,G3_Jeandel_Rao_11,4->6,4,6,NW,1723,50638,775,948,0.4497968659315148
limit_target_6_G3_G4,G3_Jeandel_Rao_11,4->6,4,6,NE,1723,50638,884,839,0.5130586186883344
limit_target_6_G3_G4,G3_Jeandel_Rao_11,4->6,4,6,SW,1723,50638,780,943,0.4526987811955891
limit_target_6_G3_G4,G3_Jeandel_Rao_11,4->6,4,6,SE,1723,50638,928,795,0.538595473012188
limit_target_6_G3_G4,G3_Jeandel_Rao_11,4->6,4,6,CENTER,1723,50638,429,1294,0.248984329657574
limit_target_6_G3_G4,G3_Jeandel_Rao_11,4->6,4,6,ALL_CORNERS,1723,50638,1453,270,0.8432965757399884
limit_target_6_G3_G4,G3_Jeandel_Rao_11,4->6,4,6,ANY_EDGE,1723,50638,1454,269,0.8438769587928032
limit_target_6_G3_G4,G3_Jeandel_Rao_11,4->6,4,6,ANY_OFFSET,1723,50638,1454,269,0.8438769587928032
limit_target_6_G3_G4,G3_Jeandel_Rao_11,5->6,5,6,NW,9172,50638,2928,6244,0.31923244657653727
limit_target_6_G3_G4,G3_Jeandel_Rao_11,5->6,5,6,NE,9172,50638,3965,5207,0.43229393807239425
limit_target_6_G3_G4,G3_Jeandel_Rao_11,5->6,5,6,SW,9172,50638,3417,5755,0.3725468818142172
limit_target_6_G3_G4,G3_Jeandel_Rao_11,5->6,5,6,SE,9172,50638,4578,4594,0.49912778020061055
limit_target_6_G3_G4,G3_Jeandel_Rao_11,5->6,5,6,CENTER,9172,50638,2928,6244,0.31923244657653727
limit_target_6_G3_G4,G3_Jeandel_Rao_11,5->6,5,6,ALL_CORNERS,9172,50638,6941,2231,0.7567597034452682
limit_target_6_G3_G4,G3_Jeandel_Rao_11,5->6,5,6,ANY_EDGE,9172,50638,6941,2231,0.7567597034452682
limit_target_6_G3_G4,G3_Jeandel_Rao_11,5->6,5,6,ANY_OFFSET,9172,50638,6941,2231,0.7567597034452682
limit_target_6_G3_G4,G4_Labbe_19,2->6,2,6,NW,139,10952,92,47,0.6618705035971223
limit_target_6_G3_G4,G4_Labbe_19,2->6,2,6,NE,139,10952,62,77,0.4460431654676259
limit_target_6_G3_G4,G4_Labbe_19,2->6,2,6,SW,139,10952,93,46,0.6690647482014388
limit_target_6_G3_G4,G4_Labbe_19,2->6,2,6,SE,139,10952,62,77,0.4460431654676259
limit_target_6_G3_G4,G4_Labbe_19,2->6,2,6,CENTER,139,10952,50,89,0.3597122302158273
limit_target_6_G3_G4,G4_Labbe_19,2->6,2,6,ALL_CORNERS,139,10952,117,22,0.841726618705036
limit_target_6_G3_G4,G4_Labbe_19,2->6,2,6,ANY_EDGE,139,10952,117,22,0.841726618705036
limit_target_6_G3_G4,G4_Labbe_19,2->6,2,6,ANY_OFFSET,139,10952,117,22,0.841726618705036
limit_target_6_G3_G4,G4_Labbe_19,3->6,3,6,NW,428,10952,277,151,0.647196261682243
limit_target_6_G3_G4,G4_Labbe_19,3->6,3,6,NE,428,10952,124,304,0.2897196261682243
